No.,Time,Source,Destination,Protocol,Length,Info
121698,4267.019529,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1992 Ack=14740 Win=16 Len=11"
122025,4327.10856,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=14740 Ack=2003 Win=1024 Len=11"
122026,4327.134581,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2003 Ack=14751 Win=16 Len=11"
122045,4332.103123,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=14751 Ack=2014 Win=1024 Len=648"
122047,4332.128185,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=2014 Ack=15399 Win=16 Len=55"
127896,4387.032811,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2069 Ack=15399 Win=16 Len=11"
128205,4447.106235,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=15399 Ack=2080 Win=1024 Len=11"
128206,4447.131971,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2080 Ack=15410 Win=16 Len=11"
128475,4507.047114,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2091 Ack=15410 Win=16 Len=11"
128792,4545.670361,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=15410 Ack=2102 Win=1024 Len=648"
128793,4545.695789,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=2102 Ack=16058 Win=16 Len=55"
133354,4605.748284,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=16058 Ack=2157 Win=1024 Len=11"
133355,4605.772884,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2157 Ack=16069 Win=16 Len=11"
133445,4627.060784,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2168 Ack=16069 Win=16 Len=11"
133815,4687.124878,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=16069 Ack=2179 Win=1024 Len=11"
133816,4687.149252,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2179 Ack=16080 Win=16 Len=11"
