No.,Time,Source,Destination,Protocol,Length,Info,lengths
57799,1687.430403,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=804 Ack=6021 Win=16 Len=11",11
57800,1687.484153,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=6021 Ack=815 Win=1024 Len=0,0
58119,1746.73056,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=815 Ack=6021 Win=16 Len=11",11
58120,1746.772285,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=6021 Ack=826 Win=1024 Len=0,0
58431,1806.837624,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=6021 Ack=826 Win=1024 Len=11",11
58432,1806.862088,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=826 Ack=6032 Win=16 Len=11",11
58433,1806.916013,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=6032 Ack=837 Win=1024 Len=0,0
58502,1826.748498,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=6032 Ack=837 Win=1024 Len=648",648
58503,1826.773978,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=837 Ack=6680 Win=16 Len=55",55
58505,1826.822915,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=6680 Ack=892 Win=1024 Len=0,0
62528,1866.743918,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=892 Ack=6680 Win=16 Len=11",11
62530,1866.793405,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=6680 Ack=903 Win=1024 Len=0,0
62810,1926.80514,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=6680 Ack=903 Win=1024 Len=11",11
62813,1926.83018,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=903 Ack=6691 Win=16 Len=11",11
62816,1926.881792,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=6691 Ack=914 Win=1024 Len=0,0
62910,1953.518592,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=6691 Ack=914 Win=1024 Len=648",648
62911,1953.543615,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=914 Ack=7339 Win=16 Len=55",55
62913,1953.59071,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=7339 Ack=969 Win=1023 Len=0,0
65384,1986.758738,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=969 Ack=7339 Win=16 Len=11",11
65385,1986.803808,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=7339 Ack=980 Win=1023 Len=0,0
66197,2046.835712,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=7339 Ack=980 Win=1023 Len=11",11
66198,2046.865997,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=980 Ack=7350 Win=16 Len=11",11
66199,2046.912437,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=7350 Ack=991 Win=1023 Len=0,0
66512,2106.771537,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=991 Ack=7350 Win=16 Len=11",11
66513,2106.822241,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=7350 Ack=1002 Win=1023 Len=0,0
66838,2166.822902,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=7350 Ack=1002 Win=1023 Len=11",11
66839,2166.847289,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1002 Ack=7361 Win=16 Len=11",11
66841,2166.900381,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=7361 Ack=1013 Win=1023 Len=0,0
66916,2193.401327,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=7361 Ack=1013 Win=1023 Len=648",648
66918,2193.426455,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=1013 Ack=8009 Win=16 Len=55",55
66920,2193.471439,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=8009 Ack=1068 Win=1023 Len=0,0
71232,2226.784395,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1068 Ack=8009 Win=16 Len=11",11
71233,2226.83771,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=8009 Ack=1079 Win=1023 Len=0,0
71619,2286.843794,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=8009 Ack=1079 Win=1023 Len=11",11
71620,2286.86834,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1079 Ack=8020 Win=16 Len=11",11
71621,2286.922562,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=8020 Ack=1090 Win=1023 Len=0,0
71941,2346.799135,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1090 Ack=8020 Win=16 Len=11",11
71942,2346.840743,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=8020 Ack=1101 Win=1023 Len=0,0
72096,2372.476587,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=8020 Ack=1101 Win=1023 Len=648",648
72099,2372.550502,34.158.0.131,192.168.50.133,TCP,60,4070  >  55697 [ACK] Seq=1101 Ack=8668 Win=16 Len=0,0
72241,2372.635721,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=1101 Ack=8668 Win=16 Len=55",55
72247,2372.689646,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=8668 Ack=1156 Win=1023 Len=0,0
76482,2432.709871,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=8668 Ack=1156 Win=1023 Len=11",11
76483,2432.733925,34.158.0.131,192.168.50.133,TCP,60,4070  >  55697 [ACK] Seq=1156 Ack=8679 Win=16 Len=0,0
76484,2432.743265,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1156 Ack=8679 Win=16 Len=11",11
76485,2432.787918,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=8679 Ack=1167 Win=1023 Len=0,0
76792,2466.812527,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1167 Ack=8679 Win=16 Len=11",11
76793,2466.854053,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=8679 Ack=1178 Win=1023 Len=0,0
76985,2503.941198,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=8679 Ack=1178 Win=1023 Len=648",648
76986,2503.96547,34.158.0.131,192.168.50.133,TCP,60,4070  >  55697 [ACK] Seq=1178 Ack=9327 Win=16 Len=0,0
76987,2503.965971,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=1178 Ack=9327 Win=16 Len=55",55
76989,2504.011494,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=9327 Ack=1233 Win=1022 Len=0,0
82605,2564.076803,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=9327 Ack=1233 Win=1022 Len=11",11
82606,2564.101056,34.158.0.131,192.168.50.133,TCP,60,4070  >  55697 [ACK] Seq=1233 Ack=9338 Win=16 Len=0,0
82607,2564.101056,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1233 Ack=9338 Win=16 Len=11",11
82608,2564.153981,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=9338 Ack=1244 Win=1022 Len=0,0
82781,2586.826533,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1244 Ack=9338 Win=16 Len=11",11
82782,2586.868691,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=9338 Ack=1255 Win=1022 Len=0,0
83147,2646.908257,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=9338 Ack=1255 Win=1022 Len=11",11
83148,2646.932845,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1255 Ack=9349 Win=16 Len=11",11
83149,2646.986436,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=9349 Ack=1266 Win=1022 Len=0,0
83350,2689.068261,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=9349 Ack=1266 Win=1022 Len=648",648
83351,2689.095059,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=1266 Ack=9997 Win=16 Len=55",55
83353,2689.142033,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=9997 Ack=1321 Win=1022 Len=0,0
88093,2706.841195,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1321 Ack=9997 Win=16 Len=11",11
88094,2706.881986,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=9997 Ack=1332 Win=1022 Len=0,0
88428,2766.909738,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=9997 Ack=1332 Win=1022 Len=11",11
88429,2766.934087,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1332 Ack=10008 Win=16 Len=11",11
