"No.","Time","Source","Destination","Protocol","Length","Info"
"254550","3271.293126","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=13119 Ack=1750 Win=1025 Len=0"
"261299","3331.327906","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=13119 Ack=1750 Win=1025 Len=11"
"261300","3331.352779","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=1750 Ack=13130 Win=16 Len=11"
"261301","3331.402907","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=13130 Ack=1761 Win=1025 Len=0"
"262396","3357.357714","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=1761 Ack=13130 Win=16 Len=11"
"262397","3357.404107","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=13130 Ack=1772 Win=1025 Len=0"
"263328","3417.421375","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=13130 Ack=1772 Win=1025 Len=11"
"263330","3417.446215","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=1772 Ack=13141 Win=16 Len=11"
"263331","3417.499353","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=13141 Ack=1783 Win=1025 Len=0"
"266283","3477.370742","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=1783 Ack=13141 Win=16 Len=11"
"266284","3477.421060","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=13141 Ack=1794 Win=1025 Len=0"
"268211","3501.219534","192.168.50.133","34.158.0.131","TCP","695","55697  >  4070 [PSH, ACK] Seq=13141 Ack=1794 Win=1025 Len=641"
"268218","3501.244722","34.158.0.131","192.168.50.133","TCP","109","4070  >  55697 [PSH, ACK] Seq=1794 Ack=13782 Win=16 Len=55"
"268225","3501.299768","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=13782 Ack=1849 Win=1025 Len=0"
"276590","3561.340619","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=13782 Ack=1849 Win=1025 Len=11"
"276591","3561.365374","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=1849 Ack=13793 Win=16 Len=11"
"276620","3561.418512","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=13793 Ack=1860 Win=1025 Len=0"
"278825","3597.384403","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=1860 Ack=13793 Win=16 Len=11"
"278826","3597.432903","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=13793 Ack=1871 Win=1025 Len=0"
"279524","3636.285013","192.168.50.133","34.158.0.131","TCP","694","55697  >  4070 [PSH, ACK] Seq=13793 Ack=1871 Win=1025 Len=640"
"279528","3636.310277","34.158.0.131","192.168.50.133","TCP","109","4070  >  55697 [PSH, ACK] Seq=1871 Ack=14433 Win=16 Len=55"
"279542","3636.365076","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=14433 Ack=1926 Win=1025 Len=0"
"283652","3696.362376","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=14433 Ack=1926 Win=1025 Len=11"
"283656","3696.395278","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=1926 Ack=14444 Win=16 Len=11"
"283657","3696.438533","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=14444 Ack=1937 Win=1025 Len=0"
"284814","3717.397959","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=1937 Ack=14444 Win=16 Len=11"
"284817","3717.437731","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=14444 Ack=1948 Win=1025 Len=0"
"288200","3777.466869","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=14444 Ack=1948 Win=1025 Len=11"
"288202","3777.492163","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=1948 Ack=14455 Win=16 Len=11"
"288205","3777.544620","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=14455 Ack=1959 Win=1024 Len=0"
"289602","3816.298302","192.168.50.133","34.158.0.131","TCP","695","55697  >  4070 [PSH, ACK] Seq=14455 Ack=1959 Win=1024 Len=641"
"289614","3816.323556","34.158.0.131","192.168.50.133","TCP","109","4070  >  55697 [PSH, ACK] Seq=1959 Ack=15096 Win=16 Len=55"
"289628","3816.378052","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=15096 Ack=2014 Win=1024 Len=0"
"289925","3837.410963","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2014 Ack=15096 Win=16 Len=11"
"289926","3837.453682","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=15096 Ack=2025 Win=1024 Len=0"
"291088","3897.469401","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=15096 Ack=2025 Win=1024 Len=11"
"291089","3897.494943","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2025 Ack=15107 Win=16 Len=11"
"291090","3897.546321","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=15107 Ack=2036 Win=1024 Len=0"
"293597","3957.424711","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2036 Ack=15107 Win=16 Len=11"
"293599","3957.473523","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=15107 Ack=2047 Win=1024 Len=0"
"294260","4017.500227","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=15107 Ack=2047 Win=1024 Len=11"
"294261","4017.525164","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2047 Ack=15118 Win=16 Len=11"
"294263","4017.579492","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=15118 Ack=2058 Win=1024 Len=0"
"295310","4050.036805","192.168.50.133","34.158.0.131","TCP","693","55697  >  4070 [PSH, ACK] Seq=15118 Ack=2058 Win=1024 Len=639"
"295313","4050.062107","34.158.0.131","192.168.50.133","TCP","109","4070  >  55697 [PSH, ACK] Seq=2058 Ack=15757 Win=16 Len=55"
"295315","4050.112622","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=15757 Ack=2113 Win=1024 Len=0"
"295648","4077.437814","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2113 Ack=15757 Win=16 Len=11"
"295650","4077.489351","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=15757 Ack=2124 Win=1024 Len=0"
"299764","4137.500552","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=15757 Ack=2124 Win=1024 Len=11"
"299765","4137.525432","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2124 Ack=15768 Win=16 Len=11"
"299767","4137.576712","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=15768 Ack=2135 Win=1024 Len=0"
"301312","4197.454845","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2135 Ack=15768 Win=16 Len=11[Malformed Packet]"
"301318","4197.505085","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=15768 Ack=2146 Win=1024 Len=0"
"303954","4240.866000","192.168.50.133","34.158.0.131","TCP","619","55697  >  4070 [PSH, ACK] Seq=15768 Ack=2146 Win=1024 Len=565"
"303957","4240.891239","34.158.0.131","192.168.50.133","TCP","109","4070  >  55697 [PSH, ACK] Seq=2146 Ack=16333 Win=16 Len=55"
"303962","4240.930953","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=16333 Ack=2201 Win=1024 Len=0"
"307209","4300.972902","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=16333 Ack=2201 Win=1024 Len=11"
"307214","4300.997613","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2201 Ack=16344 Win=16 Len=11"
"307220","4301.051217","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=16344 Ack=2212 Win=1023 Len=0"
"311802","4317.467532","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2212 Ack=16344 Win=16 Len=11"
"311817","4317.511474","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=16344 Ack=2223 Win=1023 Len=0"
"323701","4377.529747","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=16344 Ack=2223 Win=1023 Len=11"
"323708","4377.554738","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2223 Ack=16355 Win=16 Len=11"
"323719","4377.606321","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=16355 Ack=2234 Win=1023 Len=0"
"327471","4394.221120","192.168.50.133","34.158.0.131","TCP","620","55697  >  4070 [PSH, ACK] Seq=16355 Ack=2234 Win=1023 Len=566"
"327477","4394.246291","34.158.0.131","192.168.50.133","TCP","109","4070  >  55697 [PSH, ACK] Seq=2234 Ack=16921 Win=16 Len=55"
"327486","4394.298190","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=16921 Ack=2289 Win=1023 Len=0"
"336384","4437.485514","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2289 Ack=16921 Win=16 Len=11"
"336393","4437.528004","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=16921 Ack=2300 Win=1023 Len=0"
"344008","4497.560797","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=16921 Ack=2300 Win=1023 Len=11"
"344012","4497.585900","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2300 Ack=16932 Win=16 Len=11"
"344020","4497.638672","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=16932 Ack=2311 Win=1023 Len=0"
"353236","4557.498882","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2311 Ack=16932 Win=16 Len=11"
"353246","4557.543875","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=16932 Ack=2322 Win=1023 Len=0"
"354726","4567.449263","192.168.50.133","34.158.0.131","TCP","620","55697  >  4070 [PSH, ACK] Seq=16932 Ack=2322 Win=1023 Len=566"
"354735","4567.474550","34.158.0.131","192.168.50.133","TCP","109","4070  >  55697 [PSH, ACK] Seq=2322 Ack=17498 Win=16 Len=55"
"354751","4567.529684","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=17498 Ack=2377 Win=1023 Len=0"
"363545","4627.540184","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=17498 Ack=2377 Win=1023 Len=11"
